Torque(Nm),Brake_Velocity(rad/s),All_exp_Velocity(rad/s)
,,1.3566726446151733
,,1.2632062435150146
,,1.2632062435150146
,,1.285968542098999
,,1.2605875730514526
,,1.2758967876434326
,,1.275493860244751
,,1.2557531595230103
,,1.2783139944076538
,,1.2783139944076538
,,1.3415650129318237
,,1.3415650129318237
,,1.2505158185958862
,,1.2505158185958862
,,1.3822550773620605
,,1.3089321851730347
,,1.3089321851730347
,,1.2783139944076538
,,1.3085293769836426
,,1.270659327507019
,,1.2960402965545654
,,1.3061121702194214
,,1.3032920360565186
,,1.2678393125534058
,,1.3468023538589478
,,1.3137668371200562
,,1.3161840438842773
,,1.2533358335494995
,,1.2533358335494995
,,1.2533358335494995
,,1.2960402965545654
,,1.3367304801940918
,,1.2428611516952515
,,1.3492194414138794
,,1.3214212656021118
,,1.3343132734298706
,,1.2988604307174683
,,1.323838472366333
,,1.3645286560058594
,,1.3085293769836426
,,1.3085293769836426
,,1.3794348239898682
,,1.3415650129318237
,,1.4708869457244873
,,1.3746004104614258
,,1.4531605243682861
,,1.4531605243682861
,,1.323838472366333
,,1.3190040588378906
,,1.3516366481781006
,,1.3516366481781006
,,1.3568741083145142
,,1.2682422399520874
,,1.3846722841262817
,,1.4023985862731934
,,1.3617085218429565
,,1.3693630695343018
,,1.381852149963379
,,1.381852149963379
,,1.3520395755767822
,,1.3770177364349365
,,1.3770177364349365
,,1.4096503257751465
,,1.397564172744751
,,1.3641257286071777
,,1.3770177364349365
,,1.3999813795089722
,,1.2984577417373657
,,1.2984577417373657
,,1.3846722841262817
,,1.3746004104614258
,,1.4249595403671265
,,1.3540538549423218
,,1.344385027885437
,,1.3822550773620605
,,1.3846722841262817
,,1.392326831817627
,,1.3947441577911377
,,1.3947441577911377
,,1.3617085218429565
,,1.4229450225830078
,,1.3999813795089722
,,1.5011024475097656
,,1.3266586065292358
,,1.3741976022720337
,,1.4350312948226929
,,1.387089490890503
,,1.3697658777236938
,,1.3899096250534058
,,1.4076359272003174
,,1.4430887699127197
,,1.4531605243682861
,,1.3794348239898682
,,1.5063396692276
,,1.4148876667022705
,,1.4076359272003174
,,1.4076359272003174
,,1.4479230642318726
,,1.3999813795089722
,,1.526483178138733
,,1.4124704599380493
,,1.3617085218429565
,,1.3899096250534058
,,1.4177076816558838
,,1.4579949378967285
,,1.4177076816558838
,,1.4177076816558838
,,1.4003843069076538
,,1.4374486207962036
,,1.4310026168823242
,,1.4310026168823242
,,1.3866865634918213
,,1.4680668115615845
,,1.4406715631484985
,,1.3947441577911377
,,1.3947441577911377
,,1.445505976676941
,,1.3770177364349365
,,1.4173048734664917
,,1.4712897539138794
,,1.4100532531738281
,,1.4374486207962036
,,1.4374486207962036
,,1.4608150720596313
,,1.4608150720596313
,,1.4245566129684448
,,1.457592248916626
,,1.4656496047973633
,,1.5284976959228516
,,1.3947441577911377
,,1.5945687294006348
,,1.4737071990966797
,,1.4737071990966797
,,1.4712897539138794
,,1.5599218606948853
,,1.4100532531738281
,,1.542195439338684
,,1.4382543563842773
,,1.3995784521102905
,,1.4986851215362549
,,1.4583978652954102
,,1.5389724969863892
,,1.505936861038208
,,1.56959068775177
,,1.4704840183258057
,,1.3842693567276
,,1.4978795051574707
,,1.463232398033142
,,1.4148876667022705
,,1.4954620599746704
,,1.483375906944275
,,1.4729013442993164
,,1.4930448532104492
,,1.5011024475097656
,,1.5011024475097656
,,1.4712897539138794
,,1.4680668115615845
,,1.430196762084961
,,1.4680668115615845
,,1.3899096250534058
,,1.4890162944793701
,,1.4277795553207397
,,1.4350312948226929
,,1.4350312948226929
,,1.4350312948226929
,,1.4938507080078125
,,1.4938507080078125
,,1.5083539485931396
,,1.5067425966262817
